iter,loss,acc_seg,lr
14600,0.3446,95.8356,5.5041e-05
14650,0.2319,95.3556,5.5022e-05
14700,0.1097,96.9654,5.5004e-05
14750,0.1493,96.6685,5.4985e-05
14800,0.2512,91.3236,5.4966e-05
14850,0.4596,95.8141,5.4947e-05
14900,0.2266,89.1203,5.4928e-05
14950,0.2511,94.8061,5.4909e-05
15000,0.244,98.4609,5.489e-05
15050,0.2657,67.2222,5.4871e-05
15100,0.1142,92.1667,5.4852e-05
15150,0.2084,85.8132,5.4833e-05
15200,0.1867,94.4734,5.4814e-05
15250,0.1365,94.6814,5.4795e-05
15300,0.2204,97.9956,5.4776e-05
15350,0.1483,86.1388,5.4757e-05
15400,0.1198,98.5229,5.4739e-05
15450,0.1564,87.9413,5.472e-05
15500,0.2137,94.7905,5.4701e-05
15550,0.2497,97.1211,5.4682e-05
15600,0.146,93.0011,5.4663e-05
15650,0.1124,93.5521,5.4644e-05
15700,0.1489,96.7579,5.4625e-05
15750,0.1746,93.1583,5.4606e-05
15800,0.2173,97.1069,5.4587e-05
15850,0.1051,95.6422,5.4568e-05
15900,0.1225,97.9146,5.4549e-05
15950,0.1887,78.7631,5.453e-05
16000,0.176,96.2438,5.4511e-05
16050,0.173,96.1692,5.4492e-05
16100,0.2158,96.4938,5.4474e-05
16150,0.2965,93.0082,5.4455e-05
16200,0.3496,90.208,5.4436e-05
16250,0.2428,93.4759,5.4417e-05
16300,0.2363,91.6456,5.4398e-05
16350,0.1437,97.454,5.4379e-05
16400,0.2418,93.9385,5.436e-05
16450,0.1427,95.9212,5.4341e-05
16500,0.148,97.4245,5.4322e-05
16550,0.1719,82.0366,5.4303e-05
16600,0.1711,96.7899,5.4284e-05
16650,0.2494,84.8921,5.4265e-05
16700,0.1335,98.3929,5.4246e-05
16750,0.2843,93.0673,5.4227e-05
16800,0.1393,94.3489,5.4209e-05
16850,0.1186,89.1992,5.419e-05
16900,0.2072,94.592,5.4171e-05
16950,0.1341,88.3939,5.4152e-05
17000,0.2419,97.0487,5.4133e-05
17050,0.1802,94.1408,5.4114e-05
17100,0.149,91.6826,5.4095e-05
17150,0.1396,85.1079,5.4076e-05
17200,0.1704,91.9214,5.4057e-05
17250,0.1848,66.6896,5.4038e-05
17300,0.2674,96.1329,5.4019e-05
17350,0.0996,96.7623,5.4e-05
17400,0.1573,91.3444,5.3981e-05
17450,0.1083,95.5891,5.3962e-05
17500,0.1916,94.6493,5.3944e-05
17550,0.1083,94.9007,5.3925e-05
17600,0.2066,95.8076,5.3906e-05
17650,0.1518,94.8314,5.3887e-05
17700,0.1603,97.1558,5.3868e-05
17750,0.1204,97.5236,5.3849e-05
17800,0.2039,92.5688,5.383e-05
17850,0.1517,97.3748,5.3811e-05
17900,0.2499,99.139,5.3792e-05
17950,0.223,96.6005,5.3773e-05
18000,0.1482,93.3949,5.3754e-05
18050,0.3326,91.8269,5.3735e-05
18100,0.1484,96.1809,5.3716e-05
18150,0.176,94.3008,5.3697e-05
18200,0.1445,94.4226,5.3679e-05
18250,0.1092,95.8518,5.366e-05
18300,0.1631,92.6642,5.3641e-05
18350,0.1557,90.8793,5.3622e-05
18400,0.1759,96.2821,5.3603e-05
18450,0.1438,97.9008,5.3584e-05
18500,0.1738,96.9314,5.3565e-05
